ID,name,Food Group,Calories,Carbohydrate,Protein,Fat,Water,Net-Carbs,Sugars,Fiber,Cholesterol,Saturated Fats,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,PRAL score,Calcium,Iron,Potassium,Magnesium,Vitamin A IU,Vitamin A RAE,Vitamin C,Vitamin B-12,Vitamin D,Vitamin E,Omega 3s,Omega 6s,Trans Fatty Acids,Sucrose,Glucose,Fructose,Lactose,Maltose,Galactose,Starch,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Fluoride,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B6,Folate,Folic acid,Food Folate,Folate DFE,Choline,Betaine,Retinol,Beta Carotene,Alpha Carotene,Lycopene,Vitamin D2,Vitamin D3,Vitamin D,Vitamin K,Dihydrophylloquinone,Menaquinone-4,ALA,EPA,DPA,DHA,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,Alcohol,Caffeine,Theobromine,Density
173664,100 Proof Liquor,Beverages,295,0,0,0,57.5,0,NULL,0,0,0,0,0,0.106,0,0.04,2,0,0,NULL,0,0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,1,0.04,0.021,0.018,0,NULL,0.006,0.004,0.013,0,0.001,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,42.5,NULL,NULL,
174213,Abalone,Fish,189,11.05,19.63,6.78,60.1,11.05,NULL,0,94,1.646,2741,1676,9.702,37,3.8,284,56,5,2,1.8,0.69,NULL,NULL,107,1474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217,591,0.95,0.228,0.07,51.8,NULL,0.22,0.13,1.9,2.87,0.15,14,9,5,20,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,46,NULL,224,838,854,1386,1433,441,261,715,627,860,1411,378,1169,1862,2819,1213,851,885,NULL,NULL,NULL,NULL,
171686,Acerola,Fruits,32,7.69,0.4,0.3,91.41,6.59,NULL,1.1,0,0.068,82,90,-3.107,12,0.2,146,18,767,38,1677.6,0,NULL,NULL,44,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,7,0.1,0.086,NULL,0.6,NULL,0.02,0.06,0.4,0.309,0.009,14,0,14,14,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,
168472,Acorn Squash,Vegetables,40,10.42,0.8,0.1,87.78,8.92,NULL,1.5,0,0.021,7,42,-6.868,33,0.7,347,32,367,18,11,0,0,NULL,26,16,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,3,0.13,0.065,0.167,0.5,NULL,0.14,0.01,0.7,0.4,0.154,17,0,17,17,NULL,NULL,0,220,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,24,31,45,29,10,7,31,27,34,44,15,33,86,140,29,28,31,NULL,NULL,NULL,NULL,
170565,Acorns (Dried),Nuts and Seeds,509,53.66,8.1,31.41,5.06,53.66,NULL,NULL,0,4.084,19896,6052,-10.039,54,1.04,709,82,0,0,0,0,NULL,NULL,NULL,6052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103,0,0.67,0.818,1.363,NULL,NULL,0.149,0.154,2.406,0.94,0.695,115,0,115,115,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,312,376,644,505,136,144,354,246,455,623,224,461,837,1299,376,324,344,NULL,NULL,NULL,NULL,
173728,Adzuki Beans,Beans and Lentils,128,24.77,7.52,0.1,66.29,17.47,NULL,7.3,0,0.036,9,21,-3.056,28,2,532,52,6,0,0,0,0,NULL,NULL,21,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,168,8,1.77,0.298,0.573,1.2,NULL,0.115,0.064,0.717,0.43,0.096,121,0,121,121,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,255,300,632,567,79,70,398,224,387,486,198,439,891,1173,286,331,369,NULL,NULL,NULL,NULL,
168384,Alfalfa,Vegetables,23,2.1,3.99,0.69,92.82,0.2,0.2,1.9,0,0.069,56,409,1.752,32,0.96,79,27,155,8,8.2,0,0,0.02,175,234,0,0,0.08,0.12,0,0,0,NULL,70,6,0.92,0.157,0.188,0.6,NULL,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0.4,0,87,6,0,NULL,NULL,0,30.5,NULL,NULL,NULL,0,0,0,NULL,134,143,267,214,NULL,NULL,NULL,NULL,145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
168588,Almond Butter,Nuts and Seeds,614,18.82,20.96,55.5,1.64,8.52,4.43,10.3,0,4.152,32445,13613,1.435,347,3.49,748,279,1,0,0,0,0,24.21,7,13605,NULL,4.34,0.02,0,0,0.07,NULL,0.08,508,7,3.29,0.934,2.131,2.4,NULL,0.041,0.939,3.155,0.318,0.103,53,0,53,53,52.1,NULL,0,1,0,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,159,555,813,1483,612,122,242,1149,595,937,2382,550,990,2397,5912,1472,915,926,NULL,0,NULL,NULL,
781123,Almond Milk,Dairy and Egg Products ,15,0.58,0.59,1.1,97.05,0.58,0,0,0,0,708,236,-3.5,197,0.35,67,7,NULL,43,0,0.63,1,2.81,0,236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,71,0.07,0.029,NULL,0.2,NULL,0.06,0.047,0.075,NULL,0.015,1,0,1,1,0,NULL,43,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
171031,Almond Oil,Fats and Oils,884,0,0,100,0,0,0,0,0,8.2,69900,17400,0,0,0,0,0,0,0,0,0,0,39.2,0,17400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0.4,NULL,0,0,0,0,NULL,NULL,0,7,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,
